Spectrum Export
Red ROI - X,,,Red ROI - Y,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Orange ROI - Y,,,Yellow ROI - X,,,Yellow ROI - Y,,,Pink ROI - X,,,Pink ROI - Y,,,Purple ROI - X,,,Purple ROI - Y,,,Red ROI - X,,,Red ROI - Y,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Orange ROI - Y,,,Yellow ROI - X,,,Yellow ROI - Y,,,Pink ROI - X,,,Pink ROI - Y,,,
Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (mm),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,
Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,
0.2001,271.5472,,0.2001,101.8001,,0.2001,7.1192,,0.2001,44.2800,,0.2001,60.0088,,0.2001,667.3984,,0.2001,384.8788,,0.2001,0.2487,,0.2001,35.1044,,0.2001,97.4772,,0.2001,49.2193,,0.2001,674.6711,,0.2001,49.2193,,0.2001,674.6711,,0.2001,63.0884,,0.2001,15.8746,,0.2001,22.0923,,0.2001,23.7379,,0.2001,42.6266,,0.2001,320.4065,,0.2001,45.1772,,0.2001,425.8022,,0.2001,23.6792,,0.2001,59.9235,,0.2001,31.4795,,0.2001,251.1068,,
0.3002,68.3186,,0.3002,151.0091,,0.3002,30.7739,,0.3002,39.7579,,0.3002,19.7219,,0.3002,339.6818,,0.3002,294.5584,,0.3002,0.3186,,0.3002,33.5629,,0.3002,37.3358,,0.3002,6.5710,,0.3002,379.1584,,0.3002,6.5710,,0.3002,379.1584,,0.3002,41.0344,,0.3002,74.6035,,0.3002,11.2387,,0.3002,58.9433,,0.3002,39.8743,,0.3002,1009.8420,,0.3002,128.5050,,0.3002,240.1609,,0.3002,7.9599,,0.3002,78.7180,,0.3002,13.5213,,0.3002,86.8024,,
0.4002,91.2584,,0.4002,219.6857,,0.4002,10.0813,,0.4002,39.6880,,0.4002,26.1684,,0.4002,327.3684,,0.4002,87.1239,,0.4002,0.2076,,0.4002,21.5077,,0.4002,82.3158,,0.4002,9.1800,,0.4002,427.3162,,0.4002,9.1800,,0.4002,427.3162,,0.4002,25.1694,,0.4002,124.9488,,0.4002,17.7645,,0.4002,36.9090,,0.4002,42.9443,,0.4002,1150.2370,,0.4002,14.9907,,0.4002,493.8854,,0.4002,9.0677,,0.4002,71.2854,,0.4002,22.5399,,0.4002,171.1226,,
0.5003,123.1809,,0.5003,200.8664,,0.5003,28.5752,,0.5003,16.8296,,0.5003,38.5185,,0.5003,491.4654,,0.5003,90.1594,,0.5003,0.1770,,0.5003,30.4440,,0.5003,129.6195,,0.5003,27.6598,,0.5003,312.8276,,0.5003,27.6598,,0.5003,312.8276,,0.5003,15.8739,,0.5003,112.5647,,0.5003,16.6288,,0.5003,27.9013,,0.5003,43.1278,,0.5003,595.8749,,0.5003,126.8833,,0.5003,43.1125,,0.5003,28.0386,,0.5003,48.3065,,0.5003,35.0012,,0.5003,67.6782,,
0.6004,112.4853,,0.6004,157.7211,,0.6004,23.4939,,0.6004,20.2129,,0.6004,34.9173,,0.6004,382.5675,,0.6004,148.1107,,0.6004,0.6355,,0.6004,36.4609,,0.6004,128.4738,,0.6004,50.8297,,0.6004,561.6382,,0.6004,50.8297,,0.6004,561.6382,,0.6004,24.2205,,0.6004,52.4269,,0.6004,13.8766,,0.6004,24.3119,,0.6004,44.8479,,0.6004,903.0643,,0.6004,53.0731,,0.6004,362.8641,,0.6004,15.1624,,0.6004,74.5269,,0.6004,52.0536,,0.6004,188.6623,,
0.7004,79.7957,,0.7004,78.3811,,0.7004,22.5448,,0.7004,22.3936,,0.7004,91.0302,,0.7004,281.4315,,0.7004,78.1866,,0.7004,0.2455,,0.7004,41.5703,,0.7004,65.3193,,0.7004,45.0973,,0.7004,654.7588,,0.7004,45.0973,,0.7004,654.7588,,0.7004,59.3587,,0.7004,68.1818,,0.7004,34.7257,,0.7004,46.1506,,0.7004,13.0345,,0.7004,1060.7220,,0.7004,51.5334,,0.7004,488.3275,,0.7004,18.0348,,0.7004,82.4377,,0.7004,4.1429,,0.7004,333.4175,,
0.8005,62.0813,,0.8005,63.4306,,0.8005,36.6659,,0.8005,24.0081,,0.8005,54.3893,,0.8005,599.4595,,0.8005,19.3823,,0.8005,0.9290,,0.8005,67.7360,,0.8005,84.6611,,0.8005,56.5477,,0.8005,727.7184,,0.8005,56.5477,,0.8005,727.7184,,0.8005,60.2538,,0.8005,61.6068,,0.8005,37.2538,,0.8005,53.6235,,0.8005,30.6507,,0.8005,937.4503,,0.8005,41.8804,,0.8005,767.0905,,0.8005,10.3756,,0.8005,45.6606,,0.8005,2.3377,,0.8005,210.5200,,
0.9005,16.1180,,0.9005,97.1438,,0.9005,30.2996,,0.9005,18.0130,,0.9005,28.2370,,0.9005,320.0116,,0.9005,45.7936,,0.9005,1.3841,,0.9005,45.9394,,0.9005,113.9393,,0.9005,51.8991,,0.9005,609.1798,,0.9005,51.8991,,0.9005,609.1798,,0.9005,48.8416,,0.9005,114.6471,,0.9005,34.1231,,0.9005,10.2407,,0.9005,44.0390,,0.9005,297.8115,,0.9005,26.9066,,0.9005,778.1429,,0.9005,24.3340,,0.9005,48.0574,,0.9005,13.0304,,0.9005,111.2551,,
1.0006,78.5190,,1.0006,159.1518,,1.0006,14.2822,,1.0006,97.1440,,1.0006,23.8317,,1.0006,507.1756,,1.0006,76.3742,,1.0006,1.6058,,1.0006,16.6266,,1.0006,105.0248,,1.0006,25.7917,,1.0006,711.1710,,1.0006,25.7917,,1.0006,711.1710,,1.0006,38.6404,,1.0006,154.8440,,1.0006,1.8163,,1.0006,58.1350,,1.0006,28.4414,,1.0006,511.8916,,1.0006,101.1743,,1.0006,375.2397,,1.0006,17.3807,,1.0006,45.9206,,1.0006,20.9888,,1.0006,199.7626,,
1.1007,98.6121,,1.1007,153.2320,,1.1007,6.1254,,1.1007,93.1551,,1.1007,17.8236,,1.1007,484.8892,,1.1007,75.9785,,1.1007,1.0940,,1.1007,4.0686,,1.1007,53.1081,,1.1007,33.9111,,1.1007,754.6110,,1.1007,33.9111,,1.1007,754.6110,,1.1007,12.0281,,1.1007,142.7237,,1.1007,21.0821,,1.1007,32.1541,,1.1007,46.0339,,1.1007,915.1852,,1.1007,158.8266,,1.1007,279.9946,,1.1007,17.7722,,1.1007,36.8701,,1.1007,52.8408,,1.1007,186.1686,,
