Spectrum Export
Red ROI - X,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Orange ROI - Y,,,Yellow ROI - X,,,Yellow ROI - Y,,,Pink ROI - X,,,Pink ROI - Y,,,Purple ROI - X,,,Purple ROI - Y,,,Red ROI - X,,,Red ROI - Y,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Orange ROI - Y,,,Yellow ROI - X,,,Yellow ROI - Y,,,Pink ROI - X,,,Pink ROI - Y,,,
Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,
Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,
0.2001,102.6549,,0.2001,41.5599,,0.2001,52.3779,,0.2001,15.1859,,0.2001,53.7650,,0.2001,44.5462,,0.2001,29.0000,,0.2001,19.9835,,0.2001,167.0583,,0.2001,27.9598,,0.2001,342.7912,,0.2001,27.9598,,0.2001,342.7912,,0.2001,53.5292,,0.2001,120.2820,,0.2001,27.7568,,0.2001,23.9845,,0.2001,22.2823,,0.2001,340.6816,,0.2001,76.6851,,0.2001,29.9917,,0.2001,25.7795,,0.2001,27.5019,,0.2001,8.1318,,0.2001,17.0035,,
0.3002,48.0665,,0.3002,32.3602,,0.3002,56.3828,,0.3002,27.5991,,0.3002,126.5653,,0.3002,29.9159,,0.3002,19.8811,,0.3002,15.2484,,0.3002,121.9428,,0.3002,3.4703,,0.3002,610.7272,,0.3002,3.4703,,0.3002,610.7272,,0.3002,75.2365,,0.3002,54.0745,,0.3002,3.8893,,0.3002,50.2375,,0.3002,9.4957,,0.3002,213.4075,,0.3002,74.0609,,0.3002,30.7024,,0.3002,14.4690,,0.3002,44.3741,,0.3002,7.4381,,0.3002,102.3767,,
0.4002,29.4310,,0.4002,55.6107,,0.4002,22.9801,,0.4002,16.8608,,0.4002,188.4238,,0.4002,36.9938,,0.4002,35.2028,,0.4002,35.9221,,0.4002,113.9301,,0.4002,34.8294,,0.4002,452.5228,,0.4002,34.8294,,0.4002,452.5228,,0.4002,45.0071,,0.4002,89.8355,,0.4002,20.7387,,0.4002,50.9883,,0.4002,23.7882,,0.4002,1021.7610,,0.4002,27.0431,,0.4002,73.0293,,0.4002,17.9344,,0.4002,40.8875,,0.4002,17.7162,,0.4002,168.8030,,
0.5003,45.3421,,0.5003,48.7154,,0.5003,61.7037,,0.5003,28.4050,,0.5003,180.6310,,0.5003,73.7821,,0.5003,100.9255,,0.5003,40.7282,,0.5003,106.0123,,0.5003,32.6632,,0.5003,1006.5490,,0.5003,32.6632,,0.5003,1006.5490,,0.5003,46.2954,,0.5003,84.7854,,0.5003,27.0850,,0.5003,40.9429,,0.5003,42.8020,,0.5003,1154.3740,,0.5003,42.5534,,0.5003,54.8711,,0.5003,32.1710,,0.5003,32.2711,,0.5003,25.9277,,0.5003,107.4780,,
0.6004,17.1106,,0.6004,27.3855,,0.6004,69.1495,,0.6004,15.0286,,0.6004,287.3311,,0.6004,25.6520,,0.6004,99.1709,,0.6004,32.0969,,0.6004,24.2992,,0.6004,18.0654,,0.6004,1557.6270,,0.6004,18.0654,,0.6004,1557.6270,,0.6004,113.8715,,0.6004,108.0649,,0.6004,17.9675,,0.6004,20.4005,,0.6004,28.6396,,0.6004,1294.2530,,0.6004,79.7374,,0.6004,27.4983,,0.6004,30.5902,,0.6004,31.4754,,0.6004,1.2292,,0.6004,48.2306,,
0.7004,57.9846,,0.7004,8.8197,,0.7004,28.3971,,0.7004,20.1274,,0.7004,341.9752,,0.7004,73.9264,,0.7004,48.6735,,0.7004,7.5770,,0.7004,84.8052,,0.7004,34.3950,,0.7004,1703.8660,,0.7004,34.3950,,0.7004,1703.8660,,0.7004,152.5678,,0.7004,63.0371,,0.7004,15.0226,,0.7004,51.6463,,0.7004,10.1281,,0.7004,1173.4230,,0.7004,127.7322,,0.7004,28.3734,,0.7004,27.6021,,0.7004,41.4453,,0.7004,12.8527,,0.7004,144.0169,,
0.8005,32.2072,,0.8005,30.2464,,0.8005,63.3617,,0.8005,25.0107,,0.8005,282.0862,,0.8005,65.5944,,0.8005,38.4085,,0.8005,9.3440,,0.8005,26.8770,,0.8005,11.9966,,0.8005,1769.7180,,0.8005,11.9966,,0.8005,1769.7180,,0.8005,74.5493,,0.8005,46.1880,,0.8005,14.7565,,0.8005,71.0772,,0.8005,9.2727,,0.8005,604.9839,,0.8005,64.2487,,0.8005,57.8670,,0.8005,19.0826,,0.8005,44.4271,,0.8005,63.8702,,0.8005,156.8779,,
0.9005,45.6152,,0.9005,39.6111,,0.9005,94.9312,,0.9005,14.2731,,0.9005,133.7234,,0.9005,43.6289,,0.9005,22.0351,,0.9005,19.6180,,0.9005,54.3096,,0.9005,10.2452,,0.9005,1460.9700,,0.9005,10.2452,,0.9005,1460.9700,,0.9005,41.5274,,0.9005,75.7366,,0.9005,18.7267,,0.9005,38.7880,,0.9005,16.5163,,0.9005,902.3118,,0.9005,21.2523,,0.9005,107.8002,,0.9005,23.5354,,0.9005,35.3055,,0.9005,74.8024,,0.9005,180.6241,,
