Spectrum Export
Red ROI - X,,,Red ROI - Y,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Orange ROI - Y,,,Yellow ROI - X,,,Yellow ROI - Y,,,Pink ROI - X,,,Pink ROI - Y,,,Purple ROI - X,,,Purple ROI - Y,,,Red ROI - X,,,Red ROI - Y,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Orange ROI - Y,,,Yellow ROI - X,,,Yellow ROI - Y,,,Pink ROI - X,,,Pink ROI - Y,,,
Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,
Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,
0.2001,141.0858,,0.2001,184.8779,,0.2001,98.3511,,0.2001,69.4482,,0.2001,43.8317,,0.2001,574.6199,,0.2001,132.0320,,0.2001,124.3295,,0.2001,133.3464,,0.2001,73.4647,,0.2001,21.5953,,0.2001,165.5481,,0.2001,21.5953,,0.2001,165.5481,,0.2001,147.9692,,0.2001,91.8932,,0.2001,144.5626,,0.2001,46.1799,,0.2001,34.3659,,0.2001,352.5123,,0.2001,58.3283,,0.2001,100.6488,,0.2001,81.3278,,0.2001,14.3546,,0.2001,63.9887,,0.2001,210.2297,,
0.3002,34.9346,,0.3002,154.9327,,0.3002,56.9250,,0.3002,50.6232,,0.3002,41.8264,,0.3002,205.5936,,0.3002,82.6759,,0.3002,78.6112,,0.3002,65.8005,,0.3002,58.2018,,0.3002,24.8836,,0.3002,725.3979,,0.3002,24.8836,,0.3002,725.3979,,0.3002,42.7472,,0.3002,47.3571,,0.3002,86.5021,,0.3002,29.9822,,0.3002,64.8184,,0.3002,309.8812,,0.3002,93.1901,,0.3002,40.6705,,0.3002,51.3040,,0.3002,36.5158,,0.3002,31.1623,,0.3002,121.5332,,
0.4002,72.1737,,0.4002,145.3641,,0.4002,35.4916,,0.4002,37.8540,,0.4002,48.7690,,0.4002,138.2424,,0.4002,81.2316,,0.4002,135.6196,,0.4002,34.9730,,0.4002,82.0912,,0.4002,25.9887,,0.4002,659.2975,,0.4002,25.9887,,0.4002,659.2975,,0.4002,11.9407,,0.4002,91.2419,,0.4002,45.9133,,0.4002,17.3932,,0.4002,38.1954,,0.4002,33.5007,,0.4002,94.1991,,0.4002,98.8007,,0.4002,39.7219,,0.4002,42.3590,,0.4002,12.5168,,0.4002,23.7598,,
0.5003,42.9102,,0.5003,128.1739,,0.5003,22.2305,,0.5003,42.2937,,0.5003,33.8530,,0.5003,206.7780,,0.5003,72.4601,,0.5003,110.9568,,0.5003,22.4549,,0.5003,62.9508,,0.5003,21.6203,,0.5003,495.6714,,0.5003,21.6203,,0.5003,495.6714,,0.5003,22.8955,,0.5003,40.5286,,0.5003,43.6744,,0.5003,37.1148,,0.5003,8.1455,,0.5003,118.8338,,0.5003,60.2088,,0.5003,62.9238,,0.5003,23.8624,,0.5003,26.6418,,0.5003,19.9320,,0.5003,228.6045,,
0.6004,41.6884,,0.6004,109.9354,,0.6004,28.6550,,0.6004,27.3153,,0.6004,23.5007,,0.6004,299.5821,,0.6004,39.7607,,0.6004,7.7375,,0.6004,13.8252,,0.6004,41.5214,,0.6004,30.8227,,0.6004,412.9021,,0.6004,30.8227,,0.6004,412.9021,,0.6004,46.2846,,0.6004,91.8483,,0.6004,37.1490,,0.6004,43.1535,,0.6004,17.5747,,0.6004,269.8686,,0.6004,47.2915,,0.6004,34.2781,,0.6004,8.2695,,0.6004,36.4075,,0.6004,18.2257,,0.6004,294.1618,,
0.7004,73.4287,,0.7004,98.3668,,0.7004,22.5470,,0.7004,10.2835,,0.7004,37.4480,,0.7004,326.0750,,0.7004,36.9689,,0.7004,108.3182,,0.7004,23.7483,,0.7004,77.0272,,0.7004,33.8682,,0.7004,440.7577,,0.7004,33.8682,,0.7004,440.7577,,0.7004,41.7177,,0.7004,130.0964,,0.7004,20.6317,,0.7004,43.0914,,0.7004,11.5616,,0.7004,269.2456,,0.7004,11.4480,,0.7004,47.4252,,0.7004,1.6343,,0.7004,42.0004,,0.7004,8.7545,,0.7004,145.5469,,
0.8005,42.8217,,0.8005,59.2286,,0.8005,19.9118,,0.8005,21.5045,,0.8005,34.4532,,0.8005,255.9107,,0.8005,99.0651,,0.8005,146.1629,,0.8005,11.8854,,0.8005,82.1528,,0.8005,14.6182,,0.8005,253.3123,,0.8005,14.6182,,0.8005,253.3123,,0.8005,24.1236,,0.8005,115.3679,,0.8005,19.2407,,0.8005,29.2007,,0.8005,9.8188,,0.8005,91.6063,,0.8005,8.3487,,0.8005,73.2661,,0.8005,13.4123,,0.8005,40.7600,,0.8005,25.7259,,0.8005,94.5057,,
0.9005,30.8167,,0.9005,65.6161,,0.9005,21.5172,,0.9005,58.4029,,0.9005,43.8227,,0.9005,80.7857,,0.9005,117.1450,,0.9005,96.1542,,0.9005,22.4416,,0.9005,42.4936,,0.9005,23.3502,,0.9005,542.9260,,0.9005,23.3502,,0.9005,542.9260,,0.9005,42.7254,,0.9005,53.0537,,0.9005,7.8728,,0.9005,22.6516,,0.9005,13.8621,,0.9005,258.1085,,0.9005,10.8373,,0.9005,76.9995,,0.9005,26.7855,,0.9005,49.0231,,0.9005,24.4505,,0.9005,98.1608,,
