Spectrum Export
Red ROI - X,,,Red ROI - Y,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Orange ROI - Y,,,Yellow ROI - X,,,Yellow ROI - Y,,,Pink ROI - X,,,Pink ROI - Y,,,Purple ROI - X,,,Purple ROI - Y,,,Red ROI - X,,,Red ROI - Y,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Orange ROI - Y,,,Yellow ROI - X,,,Yellow ROI - Y,,,Pink ROI - X,,,Pink ROI - Y,,,
Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,
Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,
0.2001,37.5628,,0.2001,592.9929,,0.2001,22.3390,,0.2001,31.3829,,0.2001,44.0928,,0.2001,136.5741,,0.2001,40.9410,,0.2001,77.7389,,0.2001,20.7979,,0.2001,21.8899,,0.2001,10.7584,,0.2001,380.8756,,0.2001,10.7584,,0.2001,380.8756,,0.2001,32.7211,,0.2001,64.7146,,0.2001,6.2850,,0.2001,42.0599,,0.2001,53.7884,,0.2001,72.0843,,0.2001,49.7823,,0.2001,17.7522,,0.2001,14.5044,,0.2001,31.7024,,0.2001,13.4721,,0.2001,47.9288,,
0.3002,44.2606,,0.3002,622.7960,,0.3002,14.6782,,0.3002,50.7735,,0.3002,20.0801,,0.3002,75.5630,,0.3002,61.6303,,0.3002,103.2510,,0.3002,5.4816,,0.3002,49.1531,,0.3002,11.6648,,0.3002,244.7291,,0.3002,11.6648,,0.3002,244.7291,,0.3002,26.2746,,0.3002,74.9621,,0.3002,7.4963,,0.3002,74.2044,,0.3002,25.1873,,0.3002,145.9716,,0.3002,31.8911,,0.3002,61.0143,,0.3002,10.0622,,0.3002,16.1579,,0.3002,40.6966,,0.3002,88.4932,,
0.4002,26.6733,,0.4002,377.4048,,0.4002,10.8413,,0.4002,61.4729,,0.4002,18.7835,,0.4002,155.4443,,0.4002,139.8816,,0.4002,42.8613,,0.4002,20.1644,,0.4002,14.0867,,0.4002,13.8497,,0.4002,499.0551,,0.4002,13.8497,,0.4002,499.0551,,0.4002,75.7711,,0.4002,33.3656,,0.4002,16.0351,,0.4002,59.1942,,0.4002,18.4022,,0.4002,371.7631,,0.4002,42.8623,,0.4002,34.7086,,0.4002,22.9037,,0.4002,10.4891,,0.4002,53.5628,,0.4002,246.1151,,
0.5003,25.3298,,0.5003,375.7197,,0.5003,20.0356,,0.5003,42.0237,,0.5003,18.4465,,0.5003,212.6749,,0.5003,156.6272,,0.5003,102.0716,,0.5003,18.7038,,0.5003,52.3701,,0.5003,9.1390,,0.5003,631.7504,,0.5003,9.1390,,0.5003,631.7504,,0.5003,78.6971,,0.5003,79.4571,,0.5003,18.2548,,0.5003,10.9852,,0.5003,20.3226,,0.5003,394.6240,,0.5003,71.3072,,0.5003,93.2262,,0.5003,24.3253,,0.5003,31.5795,,0.5003,45.1904,,0.5003,221.3635,,
0.6004,48.7310,,0.6004,344.6442,,0.6004,22.6568,,0.6004,45.0663,,0.6004,36.1858,,0.6004,77.8437,,0.6004,132.6906,,0.6004,116.2366,,0.6004,7.4865,,0.6004,94.1939,,0.6004,4.6434,,0.6004,520.1913,,0.6004,4.6434,,0.6004,520.1913,,0.6004,6.0807,,0.6004,57.7180,,0.6004,20.3869,,0.6004,30.5235,,0.6004,46.1115,,0.6004,295.3159,,0.6004,88.8708,,0.6004,101.0871,,0.6004,24.1407,,0.6004,26.3270,,0.6004,36.8863,,0.6004,200.3090,,
0.7004,101.4773,,0.7004,456.2888,,0.7004,24.9312,,0.7004,24.7407,,0.7004,61.8218,,0.7004,136.2069,,0.7004,191.5263,,0.7004,60.2248,,0.7004,16.5792,,0.7004,70.6372,,0.7004,25.6198,,0.7004,761.8126,,0.7004,25.6198,,0.7004,761.8126,,0.7004,42.8761,,0.7004,63.6429,,0.7004,14.9376,,0.7004,49.3455,,0.7004,57.1087,,0.7004,144.9878,,0.7004,99.6913,,0.7004,56.7435,,0.7004,30.1731,,0.7004,15.7154,,0.7004,42.3338,,0.7004,218.2917,,
0.8005,92.6625,,0.8005,525.7921,,0.8005,33.6470,,0.8005,16.5224,,0.8005,25.5864,,0.8005,257.2712,,0.8005,65.9723,,0.8005,40.4470,,0.8005,28.6300,,0.8005,32.4363,,0.8005,29.9068,,0.8005,325.5676,,0.8005,29.9068,,0.8005,325.5676,,0.8005,77.9300,,0.8005,114.8767,,0.8005,14.1455,,0.8005,45.2324,,0.8005,41.2194,,0.8005,104.5801,,0.8005,50.7790,,0.8005,29.5500,,0.8005,18.8628,,0.8005,26.8962,,0.8005,16.7795,,0.8005,222.4769,,
0.9005,47.4502,,0.9005,428.1783,,0.9005,21.8584,,0.9005,28.7815,,0.9005,44.5746,,0.9005,201.7155,,0.9005,48.7247,,0.9005,114.2364,,0.9005,23.8159,,0.9005,77.2097,,0.9005,4.6714,,0.9005,736.1385,,0.9005,4.6714,,0.9005,736.1385,,0.9005,92.9424,,0.9005,138.0861,,0.9005,16.2558,,0.9005,21.8422,,0.9005,17.9607,,0.9005,180.9806,,0.9005,30.9878,,0.9005,44.1440,,0.9005,21.1605,,0.9005,6.6608,,0.9005,15.3271,,0.9005,190.7345,,
