Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y,Purple_X,Red2_X,Red2_Y,Blue2_X,Green2_X,Orange2_X,Yellow2_X,Pink2_X
0.2001,276.8322,815.6743,147.5055,88.5947,241.1742,168.7185,153.3773,77.6202,220.695,282.7277,196.6579,222.0762,365.0763,230.916,740.8916,65.4342,265.9566,168.1035,291.735,260.3249
0.3002,282.2921,773.8579,167.2358,226.6029,228.8551,206.2024,153.1758,248.735,231.6261,232.1786,194.7707,126.4674,203.9132,183.1512,441.3442,99.4859,213.349,49.147,135.4643,165.1853
0.4003,163.4893,364.4999,85.9633,301.4156,82.5086,284.6277,69.5731,363.5932,175.9251,136.1386,131.839,88.1631,152.2146,109.1735,468.885,52.194,172.063,68.679,121.3634,68.677
0.5004,49.155,215.0999,26.6285,103.4117,46.8094,89.0506,36.3146,133.6981,64.0205,234.9068,40.1004,98.9636,20.4792,26.3772,332.4184,60.6032,66.8223,34.1577,49.339,39.9636
0.6004,40.9887,51.4443,100.8257,362.9469,85.2331,353.8055,87.3714,405.8322,32.6141,49.1524,57.2477,256.8176,52.5778,63.7418,485.4517,79.7918,16.2947,59.2305,141.433,80.5017
0.7005,123.2261,546.1979,87.3487,1503.953,144.4707,1736.887,44.0925,1617.228,88.2857,702.6555,61.8255,753.2664,15.8545,86.2242,1077.022,23.4502,59.2968,110.5982,245.1261,285.7475
0.8006,241.9106,769.7501,47.5197,2155.23,176.1732,2582.675,52.8791,2322.35,190.6217,968.4489,166.8531,1134.855,58.4685,59.3088,1309.703,83.2299,144.0157,183.1594,274.1724,352.5489
0.9007,107.0693,222.7368,3.0134,824.008,63.9972,1013.088,33.3584,860.6452,87.1846,354.2393,79.0703,444.3746,58.4602,10.7882,480.5013,8.4353,68.7087,57.7932,88.9398,124.4361
1.0007,87.7962,59.3404,68.2919,92.0716,78.5989,124.2111,71.8053,124.5673,73.6745,89.0769,60.701,46.8816,78.8556,76.1909,127.6986,93.9675,97.0862,69.3319,126.6588,82.7915
1.1008,161.0287,96.5452,126.221,53.446,125.327,98.8359,128.1503,112.2691,132.7133,29.5421,121.3841,107.6139,120.2639,124.8127,237.1472,120.8559,146.2771,132.3673,161.1118,113.0865
